probe,comparison,n,delta_mean,ci95_lo,ci95_hi,wilcoxon_p
L1 (cell-type),Geneformer-V2-104M  −  geneformer,5,0.0765,0.0402,0.1172,0.0625
L1 (cell-type),Geneformer-V2-316M  −  geneformer,5,0.07,0.0472,0.0927,0.0625
L1 (cell-type),Geneformer-V2-316M  −  Geneformer-V2-104M,5,-0.0065,-0.0342,0.0171,1
L1 (cell-type),Geneformer-V2-316M  −  bag_of_genes,5,0.0192,-0.0011,0.0425,0.312
L1 (cell-type),Geneformer-V2-104M  −  bag_of_genes,5,0.0257,-0.01,0.0632,0.438
L1 (cell-type),geneformer  −  bag_of_genes,5,-0.0508,-0.0575,-0.0439,0.0625
L2 (TF→target),Geneformer-V2-104M  −  geneformer,375,0.0545,0.0407,0.0679,2.41e-16
L2 (TF→target),Geneformer-V2-316M  −  geneformer,375,0.0513,0.038,0.0657,3.22e-15
L2 (TF→target),Geneformer-V2-316M  −  Geneformer-V2-104M,375,-0.0032,-0.0138,0.0083,0.447
L2 (TF→target),Geneformer-V2-316M  −  bag_of_genes,375,0.167,0.1516,0.183,4.35e-50
L2 (TF→target),Geneformer-V2-104M  −  bag_of_genes,375,0.1702,0.1538,0.1869,6.78e-48
L2 (TF→target),geneformer  −  bag_of_genes,375,0.1157,0.0992,0.1319,1.67e-34
L2 (TF→target),Geneformer-V2-316M__neg-random  −  geneformer__neg-random,375,0.0149,0.0033,0.0268,0.0111
L3 (hub identity),Geneformer-V2-104M  −  geneformer,5,-0.009,-0.0551,0.0264,1
L3 (hub identity),Geneformer-V2-316M  −  geneformer,5,-0.0199,-0.0532,0.0131,0.625
L3 (hub identity),Geneformer-V2-316M  −  Geneformer-V2-104M,5,-0.0109,-0.0284,0.0066,0.438
L3 (hub identity),geneformer  −  bag_of_genes,5,0.2192,0.1319,0.292,0.0625
L3 (hub identity),Geneformer-V2-104M  −  bag_of_genes,5,0.2102,0.1376,0.2728,0.0625
L3 (hub identity),Geneformer-V2-316M  −  bag_of_genes,5,0.1993,0.1332,0.2652,0.0625
L3 (hub identity),geneformer  −  geneformer_random_init,5,0.2935,0.2423,0.3637,0.0625
L3 (hub identity),Geneformer-V2-104M  −  Geneformer-V2-104M_random_init,5,0.179,0.1426,0.2154,0.0625
L3 (hub identity),Geneformer-V2-316M  −  Geneformer-V2-316M_random_init,5,0.2556,0.2136,0.2966,0.0625
